sector,group,ticker,skew,mom,above_sma,dd
XLK,G1,AMD,-0.61,0.3084,1.0,0.0
XLK,G2,INTU,1.51,-0.1988,0.0,-0.2508
XLY,G1,TSLA,0.31,0.0929,1.0,-0.1114
XLY,G2,BKNG,3.76,-0.2446,0.0,-0.2641
XLY,G3,HLT,5.29,-0.0614,0.0,-0.0846
XLV,G1,ISRG,2.25,0.0786,1.0,-0.077
XLV,G2,SYK,2.38,-0.1818,0.0,-0.2342
XLV,G3,ABT,6.91,-0.1142,0.0,-0.1337
XLI,G1,DE,0.56,0.0952,1.0,-0.0205
XLI,G2,GD,2.26,-0.1197,0.0,-0.1507
XLC,G1,META,-0.31,0.3507,1.0,0.0
XLC,G2,CHTR,-3.23,-0.2361,0.0,-0.2606
XLC,G3,OMC,11.2,-0.1413,0.0,-0.1515
XLB,G2,VMC,2.99,-0.117,0.0,-0.2057
XLB,G3,IP,5.06,-0.1573,0.0,-0.1999
XLE,G1,VLO,0.99,0.1001,1.0,-0.0736
XLE,G2,EXE,-2.57,-0.0823,0.0,-0.1136
XLP,G1,KR,1.27,0.007,1.0,-0.0535
XLP,G2,COST,0.55,-0.0624,0.0,-0.0796
XLP,G3,MNST,8.44,-0.1075,0.0,-0.1461
XLU,G2,PCG,1.88,-0.3238,0.0,-0.329
XLU,G3,DTE,9.61,-0.112,0.0,-0.2062
