,Ann. vol,Downside vol,Sharpe,Sortino,Max drawdown,Calmar,Longest DD (weeks),VaR 95% (3wk),CVaR 95% (3wk),Worst basket,Best basket,Skewness,Excess kurtosis,Beta to SPY,Corr to SPY,Up-capture,Down-capture,Hit rate,Avg loss / avg win
Book 18L/18S,0.06808203716113115,0.03653039470333527,0.6876229433266385,1.2815292898036037,-0.07443450150748476,0.6111531158093209,75.0,-0.01645694423772223,-0.026091403988733077,-0.06357709293707153,0.094892054625117,1.1266058951742441,7.551671650483316,0.2421099521133513,0.5952825629326554,0.2380179663206017,0.1817843401110335,0.5683453237410072,0.8098048916282115
Long book,0.17335933710207574,0.09952950567921055,1.1987430866158026,2.0879567866156816,-0.2522339279675969,0.8386351159507158,39.0,-0.0416162124975749,-0.08201796075620424,-0.2102792750386318,0.2507518002276614,0.2030632969182718,11.464345962032779,0.8622306187877145,0.8325671385433548,0.953715485794971,0.6120154300103725,0.6187050359712231,0.6834153155393338
Short book,0.09016969854388238,0.07546108806596896,-1.2663208054867938,-1.513147613121742,-0.6356320291299138,-0.17598207360728546,414.0,-0.039264507232581805,-0.04902286425345559,-0.060967690977427415,0.08312508916448873,0.7426254259989157,2.2212849373702777,-0.37801071456101076,-0.7017566778061733,-0.47767955315376764,-0.24844674978830567,0.3237410071942446,1.0982720982324736
MeanRev L/S,0.13049395276063103,0.061481846188685955,0.7538217422354134,1.5999711283768634,-0.14623162605094397,0.6450181307988573,120.0,-0.02936782704170719,-0.046475495180994184,-0.06307097804391398,0.23704117106890374,2.7861102096272914,19.260043010203177,0.3219535406392072,0.4129960338047673,0.3158259069084195,0.032679780400618,0.5539568345323741,0.7162513020462068
Momentum L/S,0.12256377480464,0.08978041146477843,-0.03474813728024326,-0.047436437447908514,-0.21699552433220926,-0.05393923671579061,282.0,-0.047675182771708575,-0.07018897646742793,-0.09243057231381957,0.07552987348665764,-0.2828279931539293,0.6166458390160505,-0.003227834074882311,-0.004408513099284558,0.09251249494478661,0.19982528273016834,0.5323741007194245,1.1636493324782642
G1,0.21482551747005837,0.14092548923258208,0.93025961932511,1.4180791934182784,-0.26776837705154655,0.7166934473816807,90.0,-0.06413641975774162,-0.12382838987272372,-0.18129181116724438,0.11462096041939088,-0.766969161271213,1.6755479305552972,0.7885122143173655,0.6144203909535276,1.0755029418133586,0.8886685404820497,0.6402877697841727,1.0055375426287638
G2,0.2111781244809557,0.1843322399572692,-0.9866610491031207,-1.130356957070072,-0.8613414647045644,-0.24150655195440876,396.0,-0.08942110971615642,-0.13636367025442653,-0.2710679710971364,0.12599724422120437,-0.7723491301082916,4.340726967869088,-0.7949678824671302,-0.6301496746941513,-0.8904779519237855,-0.4890179750217132,0.41007194244604317,1.388207358698236
G3,0.28549767411569893,0.14188872506419123,1.2188600908285063,2.4524973414664153,-0.3454073360530765,1.0407658308415793,27.0,-0.06733407004608853,-0.10744199028030325,-0.27955380805829577,0.4806556187403815,1.6181444482816099,14.948545472715244,1.1756977092599943,0.6893442531284351,1.2672176052257325,0.39984381131087166,0.6618705035971223,0.7982698614925612
G4,0.159790060782023,0.12606087517098508,-0.9465129597008969,-1.1997645039068385,-0.7732896301660452,-0.19631275156143588,414.0,-0.061417347767607045,-0.09453446898354363,-0.17805448138262925,0.22273257703885815,0.9196046591497675,10.443552390902335,-0.5317906279815797,-0.557101052757796,-0.6355657914088931,-0.3344842505096355,0.33093525179856115,0.9952940810853799
SPY,0.16739522360476922,0.11645241004605333,0.9296259303127682,1.3362964357024172,-0.27064966911754573,0.5577441083349549,96.0,-0.059240963649846025,-0.096850135624041,-0.22953457606708905,0.14850567218827582,-1.3904203696418183,8.698940845820713,1.0,1.0,1.0,1.0,0.7194244604316546,1.352970597164419
