,Total return,CAGR,Ann. vol,Sharpe,Max drawdown,Hit rate,Avg / basket,Baskets
G1,3.333559371412724,0.1939088298490783,0.24786248946277653,0.8452364584433867,-0.31334456385569587,0.60431654676259,0.012470381712766576,139.0
G2,-0.8439578837139816,-0.2010997851908839,0.2382994337272271,-0.8133959455407851,-0.8575379297918505,0.39568345323741005,-0.011537606739189972,139.0
G3,12.073377930621835,0.3643642335782258,0.30529576100998906,1.1708587319443826,-0.41504517670532903,0.6330935251798561,0.02127727426215185,139.0
G4,-0.6785845591289774,-0.12818877898664527,0.19733895297766024,-0.5990772607981637,-0.7245857794887808,0.3597122302158273,-0.007036980916585377,139.0
Momentum L/S,-0.023707474896306757,-0.002895675115458185,0.14686948157804766,0.053348794411585895,-0.26613343279820556,0.5251798561151079,0.0004663874867883016,139.0
MeanRev L/S,1.490546289029035,0.11659962843703253,0.13770240987985763,0.8686737160745619,-0.21313283590031895,0.5323741007194245,0.007120146672783237,139.0
All 4 combined,0.6405332833703365,0.0616559647247894,0.08805386550259427,0.7237261712096376,-0.13739662021424437,0.539568345323741,0.0037932670797857695,139.0
Longs only (G1+G3),7.258081960779151,0.29067546084527685,0.230239345950325,1.2312418149870732,-0.3029273589642558,0.6474820143884892,0.016873827987459213,139.0
SPY,2.200218987189298,0.15095326715507906,0.16739523237652473,0.9296259237047461,-0.2706498688985447,0.7194244604316546,0.009262794495345084,139.0
EW_universe,3.1439771330411714,0.18747125145425114,0.19555512090341154,0.9847741806676342,-0.35240920563215805,0.697841726618705,0.01146295440256055,139.0
