sector,group,ticker,px,skew90,mom20,off_60d_high,call_iv20
XLK,G1,AMD,616.82,-1.08,+35.0%,0.0%,56.26
XLK,G2,INTU,286.64,-1.02,-22.5%,-22.5%,47.14
XLY,G3,HLT,307.46,6.32,-6.9%,-9.8%,26.95
XLY,G1,TSLA,384.72,0.24,+10.3%,-9.5%,41.41
XLY,G2,RCL,225.04,3.01,-22.7%,-30.9%,40.34
XLV,G1,ISRG,402.08,0.83,+7.6%,-7.1%,35.0
XLV,G2,SYK,272.82,1.67,-16.8%,-22.6%,29.9
XLI,G3,MMM,167.91,5.18,-6.2%,-8.2%,25.1
XLI,G1,DE,714.63,2.79,+10.2%,0.0%,33.29
XLI,G2,UBER,69.48,1.46,-12.4%,-13.5%,33.39
XLC,G3,OMC,74.52,7.55,-15.4%,-15.4%,33.71
XLC,G1,META,749.09,-0.16,+34.1%,0.0%,47.57
XLC,G2,CMCSA,22.19,-0.93,-17.9%,-18.4%,30.36
XLC,G4,WBD,30.8,19.12,+7.3%,-0.0%,4.75
XLB,G3,IP,35.83,6.47,-12.7%,-17.8%,36.55
XLB,G2,VMC,244.26,3.51,-11.5%,-19.7%,29.2
XLE,G1,VLO,383.01,1.06,+10.7%,-7.3%,55.24
XLE,G2,FANG,185.09,-0.38,-10.0%,-12.5%,35.47
XLP,G3,GIS,35.13,6.33,-14.1%,-15.4%,43.25
XLP,G1,ADM,82.61,1.91,+5.7%,-6.2%,30.76
XLP,G2,HSY,168.5,3.25,-11.3%,-11.3%,24.67
XLU,G3,DTE,124.17,5.63,-7.6%,-18.7%,18.87
XLU,G2,NRG,100.82,-2.04,-9.8%,-32.1%,44.93
